epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,113.766,2.18478,2.21322,1.13528,0.54634,0.33262,0.3637,0.15866,2.08818,1.7014,1.13903,0.000663537,0.000663537,0.000663537
2,219.015,2.19356,1.72688,1.1692,0.47686,0.34419,0.33481,0.12825,2.21091,1.99572,1.19918,0.00128631,0.00128631,0.00128631
3,321.302,2.23054,1.6611,1.18462,0.51922,0.35985,0.37262,0.15666,2.094,1.62607,1.17942,0.00186508,0.00186508,0.00186508
4,423.243,2.19908,1.58078,1.15466,0.5533,0.38803,0.41832,0.17914,2.0473,1.55898,1.14894,0.001802,0.001802,0.001802
5,525.006,2.17734,1.55271,1.16007,0.5818,0.37358,0.41633,0.18116,2.05691,1.4834,1.1493,0.001736,0.001736,0.001736
6,627.082,2.14603,1.49911,1.14074,0.60274,0.39463,0.44507,0.19899,1.99271,1.39334,1.13726,0.00167,0.00167,0.00167
7,727.826,2.12977,1.46929,1.12969,0.55006,0.38211,0.43355,0.19215,2.01962,1.42713,1.12626,0.001604,0.001604,0.001604
8,830.583,2.08778,1.42587,1.11432,0.61985,0.44049,0.4967,0.22263,1.972,1.27605,1.11592,0.001538,0.001538,0.001538
9,934.596,2.06647,1.39215,1.11172,0.65532,0.44409,0.50954,0.23463,1.92143,1.24562,1.0979,0.001472,0.001472,0.001472
10,1036.89,2.03922,1.35173,1.10344,0.64918,0.44646,0.50848,0.2312,1.90129,1.2403,1.09361,0.001406,0.001406,0.001406
11,1139.03,2.03863,1.35673,1.09885,0.64065,0.45336,0.51899,0.23715,1.90492,1.21832,1.08416,0.00134,0.00134,0.00134
12,1240.45,2.01256,1.32956,1.09762,0.63704,0.44876,0.5106,0.22925,1.92269,1.2675,1.08754,0.001274,0.001274,0.001274
13,1341.41,2.00813,1.31918,1.09244,0.66696,0.46751,0.53809,0.25029,1.86598,1.1705,1.07642,0.001208,0.001208,0.001208
14,1443.66,1.99982,1.31167,1.08824,0.67194,0.47664,0.54769,0.25446,1.85113,1.16221,1.07697,0.001142,0.001142,0.001142
15,1546.32,2.01296,1.29888,1.08653,0.65903,0.47434,0.54288,0.25207,1.86355,1.17799,1.07178,0.001076,0.001076,0.001076
16,1647.22,1.94376,1.2519,1.07891,0.67055,0.47643,0.54992,0.26204,1.84159,1.14325,1.06553,0.00101,0.00101,0.00101
17,1750.91,1.96303,1.24418,1.06925,0.67965,0.48397,0.55469,0.26272,1.84317,1.1307,1.06223,0.000944,0.000944,0.000944
18,1852.5,1.9467,1.23179,1.06661,0.68683,0.4872,0.56415,0.26789,1.83,1.11596,1.05986,0.000878,0.000878,0.000878
19,1956.13,1.96696,1.24603,1.06464,0.68626,0.49159,0.57007,0.26809,1.8173,1.10907,1.05162,0.000812,0.000812,0.000812
20,2057.74,1.926,1.21515,1.06009,0.69882,0.49705,0.58001,0.28056,1.78191,1.07912,1.04069,0.000746,0.000746,0.000746
21,2159.61,1.89612,1.2033,1.0705,0.6845,0.49332,0.57206,0.27014,1.8295,1.11118,1.05313,0.00068,0.00068,0.00068
22,2258.53,1.88951,1.17588,1.06742,0.68422,0.49518,0.57105,0.27225,1.80155,1.11288,1.04603,0.000614,0.000614,0.000614
23,2358.58,1.87842,1.17143,1.06574,0.69287,0.50797,0.57956,0.27981,1.79203,1.06756,1.04507,0.000548,0.000548,0.000548
24,2460.38,1.87499,1.15906,1.05409,0.69976,0.51049,0.59061,0.28629,1.77145,1.06046,1.03758,0.000482,0.000482,0.000482
25,2563.39,1.85437,1.14598,1.04905,0.71246,0.50999,0.58971,0.2894,1.76642,1.04878,1.03393,0.000416,0.000416,0.000416
26,2666.61,1.84795,1.13386,1.04544,0.7192,0.5121,0.59934,0.29483,1.75115,1.02871,1.03112,0.00035,0.00035,0.00035
27,2769.53,1.83637,1.11505,1.04422,0.70911,0.51982,0.60374,0.29832,1.7398,1.01904,1.02581,0.000284,0.000284,0.000284
28,2874.05,1.82342,1.11057,1.03577,0.72129,0.52638,0.60813,0.30068,1.73632,1.0168,1.02412,0.000218,0.000218,0.000218
29,2977.67,1.81429,1.08342,1.04144,0.72144,0.52285,0.61078,0.3008,1.72561,1.00966,1.01994,0.000152,0.000152,0.000152
30,3080.72,1.80743,1.08082,1.03433,0.73129,0.52523,0.61427,0.30633,1.71118,0.99221,1.01707,8.6e-05,8.6e-05,8.6e-05
