epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,116.596,1.59384,1.55004,1.09242,0.78881,0.1954,0.21609,0.11108,1.51579,1.0772,1.0636,0.000415278,0.000415278,0.000415278
2,228.337,1.56112,1.12976,1.08921,0.58253,0.23482,0.24257,0.1185,1.5103,1.02524,1.05497,0.00080449,0.00080449,0.00080449
3,339.39,1.54301,1.04645,1.08292,0.58786,0.22924,0.25213,0.12521,1.49673,0.99272,1.07042,0.0011662,0.0011662,0.0011662
4,452.447,1.52423,1.00473,1.07865,0.77551,0.22323,0.28229,0.13659,1.47653,0.92355,1.0541,0.00112625,0.00112625,0.00112625
5,562.397,1.49165,0.95896,1.06894,0.64988,0.25914,0.28353,0.14241,1.46646,0.92469,1.04586,0.001085,0.001085,0.001085
6,673.266,1.4804,0.93198,1.06063,0.66605,0.24019,0.29605,0.14933,1.43666,0.89519,1.03789,0.00104375,0.00104375,0.00104375
7,785.712,1.45679,0.91549,1.05726,0.47592,0.3086,0.31061,0.15504,1.4244,0.86077,1.03309,0.0010025,0.0010025,0.0010025
8,898.557,1.44809,0.8962,1.04815,0.46387,0.30314,0.33082,0.16378,1.42118,0.86595,1.02961,0.00096125,0.00096125,0.00096125
9,1010.03,1.4295,0.8817,1.04316,0.45864,0.29287,0.31595,0.16126,1.40045,0.85389,1.02714,0.00092,0.00092,0.00092
10,1119.96,1.40998,0.85953,1.03647,0.41629,0.31352,0.31304,0.15524,1.40006,0.83757,1.02801,0.00087875,0.00087875,0.00087875
11,1229.29,1.41778,0.85803,1.03368,0.41833,0.3222,0.31918,0.15959,1.3906,0.82452,1.01944,0.0008375,0.0008375,0.0008375
12,1335.69,1.39436,0.83924,1.02924,0.47575,0.3292,0.33816,0.17186,1.36458,0.79935,1.01281,0.00079625,0.00079625,0.00079625
13,1443.35,1.389,0.83404,1.0267,0.37174,0.3222,0.303,0.15701,1.37669,0.79526,1.01017,0.000755,0.000755,0.000755
14,1550.4,1.38502,0.82535,1.02448,0.47767,0.34709,0.34214,0.17553,1.36509,0.79496,1.0096,0.00071375,0.00071375,0.00071375
15,1662.64,1.37871,0.81976,1.02272,0.48757,0.34546,0.35197,0.18003,1.35498,0.78295,1.00895,0.0006725,0.0006725,0.0006725
16,1777.02,1.37928,0.8128,1.01826,0.44558,0.35636,0.34605,0.17561,1.33991,0.77975,1.00295,0.00063125,0.00063125,0.00063125
17,1890.3,1.35494,0.79312,1.01157,0.46353,0.3543,0.36119,0.18571,1.34161,0.76641,1.00217,0.00059,0.00059,0.00059
18,2002.06,1.34673,0.78314,1.0048,0.50717,0.35133,0.36247,0.18617,1.34706,0.76857,1.00426,0.00054875,0.00054875,0.00054875
19,2114.52,1.34947,0.78456,1.00749,0.50953,0.34716,0.37381,0.18578,1.33611,0.76529,0.9983,0.0005075,0.0005075,0.0005075
20,2226.32,1.338,0.77761,1.00742,0.53609,0.36375,0.37591,0.19502,1.32673,0.76415,0.9971,0.00046625,0.00046625,0.00046625
21,2336.66,1.35556,0.77086,1.01172,0.4941,0.37217,0.37648,0.19712,1.33613,0.75463,1.00155,0.000425,0.000425,0.000425
22,2444.78,1.34727,0.75758,1.0066,0.49165,0.36674,0.38505,0.19921,1.33574,0.7533,0.99839,0.00038375,0.00038375,0.00038375
23,2551.84,1.33844,0.7483,1.00121,0.53443,0.36284,0.37749,0.19835,1.33566,0.74968,0.99311,0.0003425,0.0003425,0.0003425
24,2659.69,1.32775,0.73948,1.00004,0.52936,0.37933,0.39004,0.20446,1.32387,0.74124,0.9922,0.00030125,0.00030125,0.00030125
25,2765.91,1.32119,0.73504,0.99694,0.54608,0.38071,0.39559,0.20223,1.32243,0.73813,0.99017,0.00026,0.00026,0.00026
26,2872.35,1.31544,0.72659,0.99437,0.48146,0.36358,0.38016,0.20284,1.322,0.73455,0.99387,0.00021875,0.00021875,0.00021875
27,2977.99,1.31266,0.72183,0.99307,0.54411,0.38433,0.39514,0.20567,1.31427,0.72891,0.99026,0.0001775,0.0001775,0.0001775
28,3085.35,1.29852,0.71176,0.98825,0.54588,0.37124,0.39836,0.20864,1.31163,0.72316,0.98957,0.00013625,0.00013625,0.00013625
29,3191.71,1.29448,0.70342,0.98745,0.52278,0.39147,0.40213,0.21398,1.30653,0.71579,0.98797,9.5e-05,9.5e-05,9.5e-05
30,3301.05,1.29349,0.70051,0.98544,0.53601,0.37879,0.40008,0.21279,1.30548,0.71418,0.98788,5.375e-05,5.375e-05,5.375e-05
