scenario_code,vehicle_speed_kmh,surface,detection_distance_m,braking_distance_needed_m,available_braking_distance_m,outcome,impact_speed_kmh,speed_reduction_pct,hic,ais_level,injury_description,score
CPFA-50,20,dry,41.62,1.85,39.96,avoided,0.0,100.0,0.0,1,Minor,1.0
CPFA-50,25,dry,41.62,2.89,39.54,avoided,0.0,100.0,0.0,1,Minor,1.0
CPFA-50,30,dry,41.62,4.16,39.12,avoided,0.0,100.0,0.0,1,Minor,1.0
CPFA-50,35,dry,41.62,5.66,38.71,avoided,0.0,100.0,0.0,1,Minor,1.0
CPFA-50,40,dry,41.62,7.4,38.29,avoided,0.0,100.0,0.0,1,Minor,1.0
CPFA-50,45,dry,41.62,9.36,37.88,avoided,0.0,100.0,0.0,1,Minor,1.0
CPFA-50,50,dry,41.62,11.54,37.46,avoided,0.0,100.0,0.0,1,Minor,1.0
CPFA-50,55,dry,41.62,13.96,37.04,avoided,0.0,100.0,0.0,1,Minor,1.0
CPFA-50,60,dry,41.62,16.6,36.62,avoided,0.0,100.0,0.0,1,Minor,1.0
CPNA-25,20,dry,35.5,1.85,33.83,avoided,0.0,100.0,0.0,1,Minor,1.0
CPNA-25,25,dry,35.5,2.89,33.42,avoided,0.0,100.0,0.0,1,Minor,1.0
CPNA-25,30,dry,35.5,4.16,33.0,avoided,0.0,100.0,0.0,1,Minor,1.0
CPNA-25,35,dry,35.5,5.66,32.58,avoided,0.0,100.0,0.0,1,Minor,1.0
CPNA-25,40,dry,35.5,7.4,32.17,avoided,0.0,100.0,0.0,1,Minor,1.0
CPNA-25,45,dry,35.5,9.36,31.75,avoided,0.0,100.0,0.0,1,Minor,1.0
CPNA-25,50,dry,35.5,11.54,31.33,avoided,0.0,100.0,0.0,1,Minor,1.0
CPNA-25,55,dry,35.5,13.96,30.92,avoided,0.0,100.0,0.0,1,Minor,1.0
CPNA-25,60,dry,35.5,16.6,30.5,avoided,0.0,100.0,0.0,1,Minor,1.0
CPNC-50,20,dry,14.8,1.85,13.13,avoided,0.0,100.0,0.0,1,Minor,1.0
CPNC-50,25,dry,15.03,2.89,12.95,avoided,0.0,100.0,0.0,1,Minor,1.0
CPNC-50,30,dry,15.26,4.16,12.76,avoided,0.0,100.0,0.0,1,Minor,1.0
CPNC-50,35,dry,15.49,5.66,12.58,avoided,0.0,100.0,0.0,1,Minor,1.0
CPNC-50,40,dry,15.72,7.4,12.39,avoided,0.0,100.0,0.0,1,Minor,1.0
CPNC-50,45,dry,15.96,9.36,12.21,avoided,0.0,100.0,0.0,1,Minor,1.0
CPNC-50,50,dry,16.19,11.54,12.02,avoided,0.0,100.0,0.0,1,Minor,1.0
CPNC-50,55,dry,16.42,13.96,11.84,partial,21.45,61.0,239.1,2,Moderate,0.6101
CPNC-50,60,dry,16.65,16.6,11.65,collision,32.76,45.4,689.6,3,Serious,0.227
CPLA,20,dry,46.25,1.85,44.58,avoided,0.0,100.0,0.0,1,Minor,1.0
CPLA,25,dry,46.25,2.89,44.17,avoided,0.0,100.0,0.0,1,Minor,1.0
CPLA,30,dry,46.25,4.16,43.75,avoided,0.0,100.0,0.0,1,Minor,1.0
CPLA,35,dry,46.25,5.66,43.33,avoided,0.0,100.0,0.0,1,Minor,1.0
CPLA,40,dry,46.25,7.4,42.92,avoided,0.0,100.0,0.0,1,Minor,1.0
CPLA,45,dry,46.25,9.36,42.5,avoided,0.0,100.0,0.0,1,Minor,1.0
CPLA,50,dry,46.25,11.54,42.08,avoided,0.0,100.0,0.0,1,Minor,1.0
CPLA,55,dry,46.25,13.96,41.67,avoided,0.0,100.0,0.0,1,Minor,1.0
CPLA,60,dry,46.25,16.6,41.25,avoided,0.0,100.0,0.0,1,Minor,1.0
