scenario_code,vehicle_speed_kmh,surface,detection_distance_m,braking_distance_needed_m,available_braking_distance_m,outcome,impact_speed_kmh,speed_reduction_pct,hic,ais_level,injury_description,score
CPFA-50,20,wet,41.62,2.89,39.96,avoided,0.0,100.0,0.0,1,Minor,1.0
CPFA-50,25,wet,41.62,4.51,39.54,avoided,0.0,100.0,0.0,1,Minor,1.0
CPFA-50,30,wet,41.62,6.49,39.12,avoided,0.0,100.0,0.0,1,Minor,1.0
CPFA-50,35,wet,41.62,8.83,38.71,avoided,0.0,100.0,0.0,1,Minor,1.0
CPFA-50,40,wet,41.62,11.52,38.29,avoided,0.0,100.0,0.0,1,Minor,1.0
CPFA-50,45,wet,41.62,14.57,37.88,avoided,0.0,100.0,0.0,1,Minor,1.0
CPFA-50,50,wet,41.62,17.97,37.46,avoided,0.0,100.0,0.0,1,Minor,1.0
CPFA-50,55,wet,41.62,21.72,37.04,avoided,0.0,100.0,0.0,1,Minor,1.0
CPFA-50,60,wet,41.62,25.82,36.62,avoided,0.0,100.0,0.0,1,Minor,1.0
CPNA-25,20,wet,35.5,2.89,33.83,avoided,0.0,100.0,0.0,1,Minor,1.0
CPNA-25,25,wet,35.5,4.51,33.42,avoided,0.0,100.0,0.0,1,Minor,1.0
CPNA-25,30,wet,35.5,6.49,33.0,avoided,0.0,100.0,0.0,1,Minor,1.0
CPNA-25,35,wet,35.5,8.83,32.58,avoided,0.0,100.0,0.0,1,Minor,1.0
CPNA-25,40,wet,35.5,11.52,32.17,avoided,0.0,100.0,0.0,1,Minor,1.0
CPNA-25,45,wet,35.5,14.57,31.75,avoided,0.0,100.0,0.0,1,Minor,1.0
CPNA-25,50,wet,35.5,17.97,31.33,avoided,0.0,100.0,0.0,1,Minor,1.0
CPNA-25,55,wet,35.5,21.72,30.92,avoided,0.0,100.0,0.0,1,Minor,1.0
CPNA-25,60,wet,35.5,25.82,30.5,avoided,0.0,100.0,0.0,1,Minor,1.0
CPNC-50,20,wet,14.8,2.89,13.13,avoided,0.0,100.0,0.0,1,Minor,1.0
CPNC-50,25,wet,15.03,4.51,12.95,avoided,0.0,100.0,0.0,1,Minor,1.0
CPNC-50,30,wet,15.26,6.49,12.76,avoided,0.0,100.0,0.0,1,Minor,1.0
CPNC-50,35,wet,15.49,8.83,12.58,avoided,0.0,100.0,0.0,1,Minor,1.0
CPNC-50,40,wet,15.72,11.52,12.39,avoided,0.0,100.0,0.0,1,Minor,1.0
CPNC-50,45,wet,15.96,14.57,12.21,partial,18.12,59.7,156.9,2,Moderate,0.5973
CPNC-50,50,wet,16.19,17.97,12.02,collision,28.77,42.5,498.3,2,Moderate,0.2123
CPNC-50,55,wet,16.42,21.72,11.84,collision,37.1,32.5,941.4,3,Serious,0.1627
CPNC-50,60,wet,16.65,25.82,11.65,collision,44.45,25.9,1478.7,4,Severe,0.1296
CPLA,20,wet,46.25,2.89,44.58,avoided,0.0,100.0,0.0,1,Minor,1.0
CPLA,25,wet,46.25,4.51,44.17,avoided,0.0,100.0,0.0,1,Minor,1.0
CPLA,30,wet,46.25,6.49,43.75,avoided,0.0,100.0,0.0,1,Minor,1.0
CPLA,35,wet,46.25,8.83,43.33,avoided,0.0,100.0,0.0,1,Minor,1.0
CPLA,40,wet,46.25,11.52,42.92,avoided,0.0,100.0,0.0,1,Minor,1.0
CPLA,45,wet,46.25,14.57,42.5,avoided,0.0,100.0,0.0,1,Minor,1.0
CPLA,50,wet,46.25,17.97,42.08,avoided,0.0,100.0,0.0,1,Minor,1.0
CPLA,55,wet,46.25,21.72,41.67,avoided,0.0,100.0,0.0,1,Minor,1.0
CPLA,60,wet,46.25,25.82,41.25,avoided,0.0,100.0,0.0,1,Minor,1.0
