surface,mu_nominal,speed_kmh,kinematic_m,pacejka_pure_m,delay_0_33s_m,pacejka_total_m,kinematic_underestimation_pct,iso_range
dry,0.85,30,4.16,4.16,2.75,6.91,39.8,-
dry,0.85,50,11.57,11.54,4.58,16.13,28.3,13–22m
dry,0.85,80,29.61,29.41,7.33,36.74,19.4,-
dry,0.85,100,46.27,45.75,9.17,54.91,15.7,-
wet,0.55,30,6.44,6.49,2.75,9.24,30.3,-
wet,0.55,50,17.88,17.97,4.58,22.55,20.7,22–35m
wet,0.55,80,45.76,45.66,7.33,52.99,13.6,-
wet,0.55,100,71.5,70.86,9.17,80.02,10.6,-
gravel,0.45,30,7.87,9.85,2.75,12.6,37.6,-
gravel,0.45,50,21.85,27.22,4.58,31.81,31.3,28–40m
gravel,0.45,80,55.93,68.91,7.33,76.24,26.6,-
gravel,0.45,100,87.39,106.57,9.17,115.74,24.5,-
snow,0.25,30,14.16,13.67,2.75,16.42,13.8,-
snow,0.25,50,39.33,37.74,4.58,42.32,7.1,55–75m
snow,0.25,80,100.68,95.12,7.33,102.45,1.7,-
snow,0.25,100,157.31,146.56,9.17,155.73,-1.0,-
ice,0.1,30,35.39,42.25,2.75,45.0,21.3,-
ice,0.1,50,98.32,115.07,4.58,119.65,17.8,60–150m
ice,0.1,80,251.7,266.84,7.33,274.17,8.2,-
ice,0.1,100,393.27,367.36,9.17,376.53,-4.4,-
